author,user_profile_link,text,timestamp,likes,date,time
Abdelaziz Aziiz,https://web.facebook.com/aziz.lmoudn?comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfNjgwMTA5NDQwODM5MTkw&__tn__=R*F,مع الاسف الشديد هاذ الشعب يستحق أن تكون له حكومة معقولة وطنية تحب وطنها وشعبها وربها لكن مع الأسف الشديد بقا الشعب بوحدو ومعه الله سبحانه وتعالى,Unknown,91,Unknown Date,Unknown Time
Joel Omrani,https://web.facebook.com/joel.omrani?comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfMTEwMjYwMzE4MDcwNjA4NQ%3D%3D&__tn__=R*F,كل التقدير والاحترام,Unknown,0,Unknown Date,Unknown Time
Soufian El Himri,https://web.facebook.com/soufian.elhimri.7?comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfNjY2NjI1NTc4NzYyNjUw&__tn__=R*F,الحمد لله اللهم اجعل بلدنا امنا,Tuesday 12 September 2023 at 21:45,5,12 September 2023,21:45
Nabila Tatane,https://web.facebook.com/snew.white.50?comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfMTA4MjQ4MTE0NjA2OTAzNQ%3D%3D&__tn__=R*F,المغرب جميل بشعبه,Tuesday 12 September 2023 at 21:35,3,12 September 2023,21:35
Hínd Eĺ,https://web.facebook.com/profile.php?id=100055540847452&comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfODUyOTcwMjQ1OTM0NDg5&__tn__=R*F,كل التقدير والاحترام,Tuesday 12 September 2023 at 21:38,0,12 September 2023,21:38
Mouhcine Adam,https://web.facebook.com/darondix.montari?comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfMTAyNTY4NjQ5ODc1ODQyOA%3D%3D&__tn__=R*F,هدا الشعب يستحق الأفضل والله العظيم (الحكومة),Tuesday 12 September 2023 at 21:36,3,12 September 2023,21:36
Najat Hamdi,https://web.facebook.com/salwa.bel.1?comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfOTgxMjQ2MzM5ODI2MDYx&__tn__=R*F,كلنا فداء للوطن,Tuesday 12 September 2023 at 21:40,20,12 September 2023,21:40
Bassam Ouahrich,https://web.facebook.com/abdessalam.ouahrich.5?comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfNzU5ODEyNzc5MjQ3ODYw&__tn__=R*F,كل الاحترام والتقدير,Tuesday 12 September 2023 at 21:44,0,12 September 2023,21:44
Farid Berrada,https://web.facebook.com/profile.php?id=61550710225242&comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfNzMxMDY0NzUyNTYyOTUwNA%3D%3D&__tn__=R*F,هدش الحمد الله مزيان ولاكن أخنوش هيشوف هدشي هيزيد علينا فالمواد الأساسية,Tuesday 12 September 2023 at 21:27,0,12 September 2023,21:27
طارق رمزي,https://web.facebook.com/ramzi.chamali.3?comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfMTI0ODUxNDk1OTE3MjM5Mg%3D%3D&__tn__=R*F,نتشاجر نتخاصم .....ولكن عندا الحاجة ننسى كل شيء ونصبح كجسد واحد,Tuesday 12 September 2023 at 22:12,16,12 September 2023,22:12
Sami El,https://web.facebook.com/profile.php?id=100042651373877&comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfNzAyNjI3ODY1MDk1Njcx&__tn__=R*F,ما اجمل احساس العفوية والبساطة واتلقائيةولكنها في الحقيقة تضربك الى الجذور والى الاعماق,Tuesday 12 September 2023 at 21:38,0,12 September 2023,21:38
Souad Elmamoun,https://web.facebook.com/souad.elmamoun?comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfODQwMjU5NjEwODQ0NTQ2&__tn__=R*F,جميلة هي الأنامل التي حيكت و غزلت هذه السطور ..هو نشيط وطني اخر ممزوج بأدب اللغة و أدب تأدب في حضرة الموت ..تحية,Sunday 17 September 2023 at 19:15,16,17 September 2023,19:15
Wi Wisman,https://web.facebook.com/hakim.wismen?comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfMjU2MTMzNzQ2ODAzNDY1&__tn__=R*F,فعلا نستاهلو حسن,Tuesday 12 September 2023 at 21:30,0,12 September 2023,21:30
Mehdi Bm,https://web.facebook.com/profile.php?id=100090682188812&comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfODQyMjc0MjQ3MjE5NTk2&__tn__=R*F,هاد الشعب يستاهل كل خير و ماشي جديد علينا و فثقافة الشعب المغربي التكافل و التعاون و يستاهل سياسيين اللي يشتغلو بالمعقول.,Tuesday 12 September 2023 at 23:34,4,12 September 2023,23:34
Abou Chahrazad,https://web.facebook.com/ossama.tigri?comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfOTc1MTY5MzczNTYzMjEy&__tn__=R*F,هاد الفيديو اخذنا منه العبر والمواعظ اكثر من جميع الفيديوهات هاد الرجل العظيم كان معلما ومربيا لنا في العطاء والبدل كنشوف الفيديو ونعاود نشوفو من البارح واليوم غادي لخدمتي مع 5 الصباح كنعاود نشوف الفيديو ودموعي كتنزل غير بوحدها كنلوم نفسي وكنقارنها مع … See more,Tuesday 12 September 2023 at 21:40,41,12 September 2023,21:40
Ṃäŕ Äṃ,https://web.facebook.com/profile.php?id=100046029711126&comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfODQ3NDIzNzQzNDQwMjEz&__tn__=R*F,الحمد لله هذا هو حب الوطن يد واحد الله يحفظ هذه البلاد وبارك الله في الصغير وكبير جزاهم الله خير الجزاء كل التقدير والاحترام,Tuesday 12 September 2023 at 21:27,0,12 September 2023,21:27
Mehdi ElIdrissi,https://web.facebook.com/mahdi.bazi716?comment_id=Y29tbWVudDo3MTU5MzU2OTM5MDc3OThfODU0NzA4ODM5MTU0NTQy&__tn__=R*F,عاش وطننا الغالي وأبنائه,Tuesday 12 September 2023 at 21:41,2,12 September 2023,21:41
