author,user_profile_link,text,timestamp,likes,date,time
الحاج هشام,https://web.facebook.com/profile.php?id=100086673397093&comment_id=Y29tbWVudDoyNjYxMDMwMzk1NzkxMjhfMzE3MzQxNzg3NjI1OTE2&__tn__=R-R,شحال وصلو ديال ضحايا,Sunday 10 September 2023 at 10:14,0,10 September 2023,10:14
مليكة مليكة,https://web.facebook.com/profile.php?id=100082218733921&comment_id=Y29tbWVudDoyNjYxMDMwMzk1NzkxMjhfMTQ3NjYyMzE3NjUwNjQ4NA%3D%3D&__tn__=R-R,حنا دار كولها تشقات لينا عيشين غير على أعصابنا,Sunday 10 September 2023 at 10:14,4,10 September 2023,10:14
Jaâfar Zakraoui,https://web.facebook.com/jaafar.zgraoui?comment_id=Y29tbWVudDoyNjYxMDMwMzk1NzkxMjhfMTYyOTE3ODk2NDI3MzYzNA%3D%3D&__tn__=R-R,مسرحيه ليس الا الناس لحد الآن لم تصلهم اي امدادات والناس تحث التراب في اليوم الثالث من الزلزال اين هيا تلك الشاحنات لم نرى شئ في أرض الواقع الشعب المغربي لم يعد يصدق الشعرات الرنانة على القنوات الرسمية الحمد لله هذا عصر الأنترنت ماتنشره القنوات الرسمية… See more,Sunday 10 September 2023 at 10:50,2,10 September 2023,10:50
المهداوي حميد,https://web.facebook.com/bnjaabdelalizahidi?comment_id=Y29tbWVudDoyNjYxMDMwMzk1NzkxMjhfMTM3NzA5MDQxNjIxMjc5NA%3D%3D&__tn__=R-R,سلام عليكم ورحمة الله وبركاته,Sunday 10 September 2023 at 10:22,0,10 September 2023,10:22
Mouad Mouad Darkouch,https://web.facebook.com/profile.php?id=100027744109856&comment_id=Y29tbWVudDoyNjYxMDMwMzk1NzkxMjhfNjk1OTM4NDU1NzYwNDU3&__tn__=R-R,ربي يرحمهم ياربي تنجي جميع المسلمين والمسلمات الأحياء منهم والأموات اللهم امين يارب العالمين وإياكم يارب العالمين,Sunday 10 September 2023 at 10:35,0,10 September 2023,10:35
Brahim EL,https://web.facebook.com/profile.php?id=100008533380030&comment_id=Y29tbWVudDoyNjYxMDMwMzk1NzkxMjhfMzE5NDc0NTAzOTQ5OTUy&__tn__=R-R,عاش الملك امر بتدخل قوات مسلحة لمساعدات الجرحى....,Sunday 10 September 2023 at 11:05,2,10 September 2023,11:05
Taoufik Roudani,https://web.facebook.com/profile.php?id=100009018220043&comment_id=Y29tbWVudDoyNjYxMDMwMzk1NzkxMjhfODUyMDk2NzM5ODE5NTc4&__tn__=R-R,الهليكوبترات لي عندنا فيناهما وداكا العسكر لي تايورونا تاينقز بالبراشيت فتداريب فينو اجي دابا انقز ودوك لي خرجو لشاريع بالبورش والحديد الوعر فاش ربح المغرب اسبانيا فكاس العالم فيناهما دابا ولا الفرحة كاتشاركها معانا غير الاحزان لا,Sunday 10 September 2023 at 10:42,4,10 September 2023,10:42
Marwa Lamsalla,https://web.facebook.com/profile.php?id=100093876700739&comment_id=Y29tbWVudDoyNjYxMDMwMzk1NzkxMjhfNTYwMTM0MzU2MjExMTkz&__tn__=R-R,راه ناس تحت الأرض وأخنوش غابر,Sunday 10 September 2023 at 17:04,0,10 September 2023,17:04
Ahmed Zouitn,https://web.facebook.com/profile.php?id=100091306560805&comment_id=Y29tbWVudDoyNjYxMDMwMzk1NzkxMjhfODU2NzMzMDQyNjkyMTcz&__tn__=R-R,اين هي الحكومة اللتي عاصرة اثناعشر قرن ولم تحتوي حتى الطريق لهذه المناطق,Sunday 10 September 2023 at 16:15,0,10 September 2023,16:15
Houriya Douae,https://web.facebook.com/houriya.douae.3?comment_id=Y29tbWVudDoyNjYxMDMwMzk1NzkxMjhfMjk3Njk3NDkyODgwOTYy&__tn__=R-R,الله يرحهم جميع الأموات و يرزق اهلهم الصبر والسلوان,Sunday 10 September 2023 at 12:01,0,10 September 2023,12:01
Lati Bou,https://web.facebook.com/lati.bou.77?comment_id=Y29tbWVudDoyNjYxMDMwMzk1NzkxMjhfNjY4MjcxMDAxNTExODY1Mw%3D%3D&__tn__=R-R,الله يرحم جميع اموات هذا المصاب الجلال,Sunday 10 September 2023 at 14:21,0,10 September 2023,14:21
