author,user_profile_link,text,timestamp,likes,date,time
Loulidi Zakaria,https://web.facebook.com/zakaria.loulidi.98?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjUxMjkzMzAwNjUzOTMy&__tn__=R-R,6.8 ريشتر,Friday 8 September 2023 at 23:44,0,08 September 2023,23:44
Mohamed Yassine,https://web.facebook.com/yassine.mohamed.1428?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfOTcxMTAxODAzOTY1NDA2&__tn__=R-R,حد سوالم أيضا نسأل الله سلامة,Friday 8 September 2023 at 23:41,0,08 September 2023,23:41
Mohamed Mohamed Dila,https://web.facebook.com/mohamed.mohameddila?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTEzNzMxMjI2MDU2MjQ0OA%3D%3D&__tn__=R-R,ياربي سلامة,Friday 8 September 2023 at 23:40,4,08 September 2023,23:40
Mustapha Mu,https://web.facebook.com/mustapha.mu.923?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTAyOTg2MjU1NDg2NzIzNw%3D%3D&__tn__=R-R,لطفك يا الله يا أرحم الراحمين يا غفور,Saturday 9 September 2023 at 00:00,0,09 September 2023,00:00
Dinini Sara,https://web.facebook.com/profile.php?id=100008809921939&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTExOTQ5NTc5OTQzNjIxOQ%3D%3D&__tn__=R-R,اسفيً و مراكش حتا هما ضربو,Friday 8 September 2023 at 23:50,0,08 September 2023,23:50
Mohamed Charaf,https://web.facebook.com/profile.php?id=100007771159365&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjc0MDk1Mjk4OTEwMzM3&__tn__=R-R,حتى فوجدة,Friday 8 September 2023 at 23:59,0,08 September 2023,23:59
Noureddine El Chgouri,https://web.facebook.com/Simba.99.qlf?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfOTg1ODkyOTg5MzU1NzE0&__tn__=R-R,Oui,Friday 8 September 2023 at 23:38,0,08 September 2023,23:38
Fariha Florida,https://web.facebook.com/fariha.florida.184?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTk5ODI1NTgwMzg3MDM1MQ%3D%3D&__tn__=R-R,لطفك يارب,Friday 8 September 2023 at 23:55,0,08 September 2023,23:55
Ayoub Ezz,https://web.facebook.com/profile.php?id=100004106644201&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfODUxMDI5MDU5OTk2Njcx&__tn__=R-R,نسأل السلامة للجميع,Friday 8 September 2023 at 23:54,0,08 September 2023,23:54
Abdel Malek,https://web.facebook.com/abdo.abdoo.1650?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzIyNzE3MzkwMzE5MzAw&__tn__=R-R,لطفك يارب,Friday 8 September 2023 at 23:41,2,08 September 2023,23:41
Djilali Abdelhadi,https://web.facebook.com/djilali.abdelhadi.39?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTUyOTE1MjM4NzgyNDQ2NA%3D%3D&__tn__=R-R,سلامة لكل العرب انا جزائري واتمنى حفظ من الله لكل شعور مسلمة,Friday 8 September 2023 at 23:58,6,08 September 2023,23:58
Sofiane Mendil,https://web.facebook.com/sofiane.mendil.3?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjg0MzQ5NDUzMTkxMjMx&__tn__=R-R,انشاء الله سلامات,Friday 8 September 2023 at 23:56,0,08 September 2023,23:56
Mohemd Rida,https://web.facebook.com/profile.php?id=100087498917044&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTM2MDE1NjkzNzkxMzg1OQ%3D%3D&__tn__=R-R,واش فوجدة,Friday 8 September 2023 at 23:43,0,08 September 2023,23:43
Mohamed Kdioui,https://web.facebook.com/mohamed.kdioui.140?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTIzNTg0ODA3Mzc3Mjc3NQ%3D%3D&__tn__=R-R,يارب السلامة,Friday 8 September 2023 at 23:44,2,08 September 2023,23:44
