author,user_profile_link,text,timestamp,likes,date,time
عامر الدرويش,https://www.facebook.com/profile.php?id=100011659758818&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNzM3OTk5NTU0NzUzMDE0&__tn__=R*F,يا رب لطفك بأهل المغرب,Friday 8 September 2023 at 23:32,13,08 September 2023,23:32
فاطمة الحسين,https://www.facebook.com/profile.php?id=100070318272344&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMzAzNTIxMDU5MjE3NDcz&__tn__=R*F,إنا لله وإنا إليه راجعون تارودانت ياربي السلامة,Saturday 9 September 2023 at 00:20,2,09 September 2023,00:20
Imen Eps Kerrouche,https://www.facebook.com/mimi.morsi.5?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjkyMDc5OTE2NzcwMDEw&__tn__=R*F,نسأل الله السلامة لإخواننا في المغرب اللهم استرنا فوق الارض وتحت الارض و يوم العرض,Friday 8 September 2023 at 23:49,4,08 September 2023,23:49
Zouhair El Mabrouky,https://www.facebook.com/zouhair.elmabrouky?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMTczODczOTgwMzIyMzQxMA%3D%3D&__tn__=R*F,نعم إنه أمر الله حتى نحن في مكناس اللهم لطفك ياالله فوق الارض وتحت الارض,Friday 8 September 2023 at 23:42,3,08 September 2023,23:42
Khalid Khalid,https://www.facebook.com/khalid.virilite?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNjc5NjczNjQ3NTQzODg3&__tn__=R*F,الحمد لله على كل حال,Friday 8 September 2023 at 23:29,2,08 September 2023,23:29
Loubna Hassan,https://www.facebook.com/loubna.hassan.96?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMzE4ODQ3NjQ3MzcwMTk0&__tn__=R*F,اللهم احسن خاتمتنا يارب لطفك,Friday 8 September 2023 at 23:36,2,08 September 2023,23:36
Najat Ait-el,https://www.facebook.com/najat.aitel?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMzEwMjE0MTYxNjg1MzQy&__tn__=R*F,لاحولة ولا قوة الا بالله اللهم اللطف,Friday 8 September 2023 at 23:34,2,08 September 2023,23:34
Youness Belgraoi,https://www.facebook.com/youness.chaqu?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNjMyNTIzNTQ4OTkzNjM5&__tn__=R*F,الحمد لله داز خفيف هاد شي والله العظيم إلى بصح,Friday 8 September 2023 at 23:30,7,08 September 2023,23:30
Abdelkader Moussaoui,https://www.facebook.com/profile.php?id=100015748381684&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjczMDM4MjI4ODU5NzY5&__tn__=R*F,اللهم أحفظهم وأنت خير الحافظين. ندعو الله السميع العليم أن لا تكون خسائر بشرية إن شاءالله.,Friday 8 September 2023 at 23:44,2,08 September 2023,23:44
Simo Ansimi,https://www.facebook.com/anssimi?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMzc0MjgwNDQ1MzU3MDU3&__tn__=R*F,ياربي سلامة الله يلطف بينا,Friday 8 September 2023 at 23:27,0,08 September 2023,23:27
Badr Din,https://www.facebook.com/badr.elatifi?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjc1OTQzNDExOTYzNTUz&__tn__=R*F,والله تامريح الكرسي مشا وجا بيا الله يرحمنا يارب,Friday 8 September 2023 at 23:27,12,08 September 2023,23:27
Reem Balal,https://www.facebook.com/noor.ramiz.54?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNjQ1MDg0MDg1NDk2NDM4NQ%3D%3D&__tn__=R*F,نسال الله السلامة,Friday 8 September 2023 at 23:27,6,08 September 2023,23:27
Chahd Ghizlane Chahd Ghizlane,https://www.facebook.com/chahdghizlane.chahdghizlane?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfOTc1NDUxMjMwMjE4NDAw&__tn__=R*F,نسأل الله السلامة,Friday 8 September 2023 at 23:27,2,08 September 2023,23:27
Ouma Oum,https://www.facebook.com/ouma.oum.581?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMTA3NTY2MTgxMzU5NTA0NQ%3D%3D&__tn__=R*F,سطات نسأل الله السلامة,Friday 8 September 2023 at 23:32,2,08 September 2023,23:32
Adil nabil,https://www.facebook.com/adil505nabil?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfOTU2NzczMjU5MjIyMzc4&__tn__=R*F,بحال غير البارح,Tuesday 26 March 2024 at 10:32,0,26 March 2024,10:32
كوديم طارق,https://www.facebook.com/profile.php?id=100054654201403&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNzY0Njc4NDc1MzQ4MjQw&__tn__=R*F,مكناس ضرب فيها كل واحد قولنا مدينة,Friday 8 September 2023 at 23:42,3,08 September 2023,23:42
Nada Andel,https://www.facebook.com/profile.php?id=100078164607854&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMTkzNTA1NDU3MDgxNzEz&__tn__=R*F,القنيطرة يا ربي السلامة,Friday 8 September 2023 at 23:26,8,08 September 2023,23:26
Ayo Ub,https://www.facebook.com/profile.php?id=100087971221768&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfODI2NjIxODEyNTM4MTY3&__tn__=R*F,علي ماأكدت بعض المصادر الاخرى انه سيضرب مجددا نطلب السلامة,Saturday 9 September 2023 at 00:28,0,09 September 2023,00:28
مرضية الوالدين,https://www.facebook.com/profile.php?id=100030094191393&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNzk1MzgxNDU1OTIwNjY5&__tn__=R*F,نسأل الله السلامة,Friday 8 September 2023 at 23:28,3,08 September 2023,23:28
Youssef Ait Taleb Ali,https://www.facebook.com/yusufaittaleb.S.H?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMzYzMTM1NDQ5NjQzNzA1&__tn__=R*F,8\9\2023 لن انسى تلك الليلة ولن انسى هذا التاريخ ، في تلك الليلة فقدت فيها اغلى ما أملك حتى فقدت فيها نفسي.,Saturday 30 December 2023 at 01:25,0,30 December 2023,01:25
Kata Lina,https://www.facebook.com/profile.php?id=100073329379520&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNzYzMjg3MzQ1NjAyMzE1&__tn__=R*F,نسأل الله السلامة,Friday 8 September 2023 at 23:28,2,08 September 2023,23:28
Asmaa Mouyarden,https://www.facebook.com/mouyarden?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjIzNzc0NTgwMzQ0Njcx&__tn__=R*F,كذلك مدينة سيدي سليمان، كانت لحظة مرعبة! لطفك يارحمان يارحيم,Friday 8 September 2023 at 23:33,11,08 September 2023,23:33
Fidal Castro,https://www.facebook.com/profile.php?id=100077637850706&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNjE4ODU1MjEwMTMzMDk5&__tn__=R*F,اللهم ألطف بأشقائنا المؤمنين في المغرب الشقيق وكن لهم عونا وأجرهم في محنتهم وأخلفهم خيرا منها يارب العالمين,Saturday 9 September 2023 at 09:43,2,09 September 2023,09:43
Ste Simo Hahou,https://www.facebook.com/simo.hahou023?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjEzODMwMjI4MzU4ODMw&__tn__=R*F,اول مرة في حياتي حسيت بزلزال,Friday 8 September 2023 at 23:32,13,08 September 2023,23:32
Ali Massawi,https://www.facebook.com/profile.php?id=100070747547777&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNjkwODA2Nzc1ODQxMzg3&__tn__=R*F,الحمد لله على كل حال,Friday 8 September 2023 at 23:36,0,08 September 2023,23:36
